date,price
2017-07-03,223.43582153320312
2017-07-05,226.5870361328125
2017-07-06,222.9776153564453
2017-07-07,222.7625274658203
2017-07-10,223.51998901367188
2017-07-11,223.51998901367188
2017-07-12,223.6882781982422
2017-07-13,222.60357666015625
2017-07-14,223.56671142578125
2017-07-17,222.1360321044922
2017-07-18,219.79840087890625
2017-07-19,220.89239501953125
2017-07-20,220.5183868408203
2017-07-21,220.60250854492188
2017-07-24,220.20982360839844
2017-07-25,219.6580810546875
2017-07-26,218.3396759033203
2017-07-27,217.4980926513672
2017-07-28,217.94691467285156
2017-07-31,216.18894958496094
2017-08-01,215.78689575195312
2017-08-02,225.43685913085938
2017-08-03,232.6836700439453
2017-08-04,229.96263122558594
2017-08-07,233.4130401611328
2017-08-08,233.97412109375
2017-08-09,238.40631103515625
2017-08-10,235.33001708984375
2017-08-11,233.75900268554688
2017-08-14,234.00216674804688
2017-08-15,230.80422973632812
2017-08-16,231.29977416992188
2017-08-17,231.5802764892578
2017-08-18,231.22499084472656
2017-08-21,233.16989135742188
2017-08-22,236.83541870117188
2017-08-23,235.62921142578125
2017-08-24,235.49822998046875
2017-08-25,236.57362365722656
2017-08-28,238.50921630859375
2017-08-29,239.07022094726562
2017-08-30,237.73313903808594
2017-08-31,240.89361572265625
2017-09-01,241.95030212402344
2017-09-05,240.82814025878906
2017-09-06,240.2017059326172
2017-09-07,239.8743896484375
2017-09-08,239.90249633789062
2017-09-11,240.51023864746094
2017-09-12,238.53724670410156
2017-09-13,235.20840454101562
2017-09-14,234.37615966796875
2017-09-15,233.0950927734375
2017-09-18,232.31903076171875
2017-09-19,224.4550323486328
2017-09-20,224.11842346191406
2017-09-21,223.14588928222656
2017-09-22,223.56671142578125
2017-09-25,221.8087921142578
2017-09-26,223.67893981933594
2017-09-27,223.3610382080078
2017-09-28,227.36981201171875
2017-09-29,228.19407653808594
2017-10-02,229.4772491455078
2017-10-03,231.71585083007812
2017-10-04,230.89158630371094
2017-10-05,229.81448364257812
2017-10-06,231.2569122314453
2017-10-09,225.17813110351562
2017-10-10,225.25303649902344
2017-10-11,225.14999389648438
2017-10-12,226.14285278320312
2017-10-13,222.6678466796875
2017-10-16,222.1433563232422
2017-10-17,225.19680786132812
2017-10-18,226.0211181640625
2017-10-19,227.31362915039062
2017-10-20,230.2359619140625
2017-10-23,230.53567504882812
2017-10-24,230.87290954589844
2017-10-25,232.62437438964844
2017-10-26,235.58416748046875
2017-10-27,242.56211853027344
2017-10-30,239.4619140625
2017-10-31,239.17153930664062
2017-11-01,239.29327392578125
2017-11-02,240.10816955566406
2017-11-03,240.42665100097656
2017-11-06,238.35659790039062
2017-11-07,240.07073974609375
2017-11-08,228.05357360839844
2017-11-09,231.7814483642578
2017-11-10,228.90591430664062
2017-11-13,225.67449951171875
2017-11-14,224.3819122314453
2017-11-15,218.49984741210938
2017-11-16,220.96316528320312
2017-11-17,218.66844177246094
2017-11-20,218.68716430664062
2017-11-21,221.44090270996094
2017-11-22,223.20175170898438
2017-11-24,225.2718048095703
2017-11-27,228.12850952148438
2017-11-28,228.7467041015625
2017-11-29,234.28228759765625
2017-11-30,244.3324432373047
2017-12-01,242.15003967285156
2017-12-04,236.29600524902344
2017-12-05,237.2888641357422
2017-12-06,234.4414825439453
2017-12-07,237.81336975097656
2017-12-08,240.23934936523438
2017-12-11,236.99851989746094
2017-12-12,238.5064697265625
2017-12-13,240.005126953125
2017-12-14,234.7318115234375
2017-12-15,237.56985473632812
2017-12-18,230.76983642578125
2017-12-19,229.6271209716797
2017-12-20,229.6271209716797
2017-12-21,228.14723205566406
2017-12-22,229.4772491455078
2017-12-26,230.64808654785156
2017-12-27,232.42770385742188
2017-12-28,233.60977172851562
2017-12-29,232.72789001464844
2018-01-02,236.0771026611328
2018-01-03,235.7393798828125
2018-01-04,242.38150024414062
2018-01-05,247.9822540283203
2018-01-08,242.5597686767578
2018-01-09,246.80960083007812
2018-01-10,246.82835388183594
2018-01-11,248.80787658691406
2018-01-12,251.44407653808594
2018-01-16,253.46115112304688
2018-01-17,258.696044921875
2018-01-18,262.1578369140625
2018-01-19,262.02642822265625
2018-01-22,264.4375
2018-01-23,265.3662109375
2018-01-24,268.6123962402344
2018-01-25,268.22760009765625
2018-01-26,270.4604797363281
2018-01-29,273.2187194824219
2018-01-30,264.8315124511719
2018-01-31,264.3999938964844
2018-02-01,262.4673767089844
2018-02-02,259.3996276855469
2018-02-05,250.58096313476562
2018-02-06,252.4760284423828
2018-02-07,248.51705932617188
2018-02-08,246.14346313476562
2018-02-09,248.91104125976562
2018-02-12,250.53411865234375
2018-02-13,251.49102783203125
2018-02-14,250.92816162109375
2018-02-15,250.9093475341797
2018-02-16,252.3634490966797
2018-02-20,250.79673767089844
2018-02-21,249.905517578125
2018-02-22,251.2470703125
2018-02-23,254.41806030273438
2018-02-26,257.5983581542969
2018-02-27,259.793701171875
2018-02-28,255.0092010498047
2018-03-01,253.0389404296875
2018-03-02,253.1139373779297
2018-03-05,253.8551788330078
2018-03-06,256.2193298339844
2018-03-07,256.38812255859375
2018-03-08,252.8513641357422
2018-03-09,255.6470947265625
2018-03-12,251.62229919433594
2018-03-13,253.28285217285156
2018-03-14,253.77072143554688
2018-03-15,254.32420349121094
2018-03-16,255.8627471923828
2018-03-19,253.28285217285156
2018-03-20,256.67901611328125
2018-03-21,254.06153869628906
2018-03-22,249.2863006591797
2018-03-23,245.42117309570312
2018-03-26,251.51918029785156
2018-03-27,251.09698486328125
2018-03-28,251.4729461669922
2018-03-29,252.67601013183594
