date,price
2017-07-03,110.54734802246094
2017-07-05,111.38831329345703
2017-07-06,109.70638275146484
2017-07-07,111.54118347167969
2017-07-10,112.84937286376953
2017-07-11,111.6516342163086
2017-07-12,113.2400894165039
2017-07-13,113.98760223388672
2017-07-14,114.454833984375
2017-07-17,114.43782806396484
2017-07-18,114.31039428710938
2017-07-19,115.55908203125
2017-07-20,116.19619750976562
2017-07-21,115.81393432617188
2017-07-24,116.85025787353516
2017-07-25,117.93756866455078
2017-07-26,122.87285614013672
2017-07-27,121.0465316772461
2017-07-28,122.70291137695312
2017-07-31,123.06820678710938
2017-08-01,123.95169830322266
2017-08-02,123.61190032958984
2017-08-03,124.94462585449219
2017-08-04,126.30299377441406
2017-08-07,125.83314514160156
2017-08-08,127.12311553955078
2017-08-09,126.39697265625
2017-08-10,122.84295654296875
2017-08-11,122.47565460205078
2017-08-14,123.99633026123047
2017-08-15,123.79129028320312
2017-08-16,122.47565460205078
2017-08-17,118.52865600585938
2017-08-18,118.5799331665039
2017-08-21,117.43513488769531
2017-08-22,118.5713882446289
2017-08-23,118.33216094970703
2017-08-24,118.23817443847656
2017-08-25,118.4176254272461
2017-08-28,117.68284606933594
2017-08-29,117.36675262451172
2017-08-30,117.21299743652344
2017-08-31,118.33216094970703
2017-09-01,119.45134735107422
2017-09-05,115.9059066772461
2017-09-06,115.41896057128906
2017-09-07,112.9072494506836
2017-09-08,113.42838287353516
2017-09-11,116.64916229248047
2017-09-12,117.58889770507812
2017-09-13,117.60603332519531
2017-09-14,118.75933837890625
2017-09-15,119.48551177978516
2017-09-18,120.3398208618164
2017-09-19,120.65593719482422
2017-09-20,120.87803649902344
2017-09-21,121.41627502441406
2017-09-22,122.0997085571289
2017-09-25,122.29623413085938
2017-09-26,123.32139587402344
2017-09-27,126.36282348632812
2017-09-28,126.2260971069336
2017-09-29,126.87540435791016
2017-10-02,127.01209259033203
2017-10-03,127.6784439086914
2017-10-04,128.03729248046875
2017-10-05,128.6182403564453
2017-10-06,128.99415588378906
2017-10-09,128.68658447265625
2017-10-10,129.2162628173828
2017-10-11,129.7117156982422
2017-10-12,130.3524932861328
2017-10-13,130.6343994140625
2017-10-16,131.0445098876953
2017-10-17,130.15602111816406
2017-10-18,130.48922729492188
2017-10-19,130.24143981933594
2017-10-20,131.66812133789062
2017-10-23,131.71934509277344
2017-10-24,131.5399932861328
2017-10-25,134.17982482910156
2017-10-26,139.0836639404297
2017-10-27,137.2212371826172
2017-10-30,135.23924255371094
2017-10-31,133.73562622070312
2017-11-01,134.4532470703125
2017-11-02,137.1700439453125
2017-11-03,137.04978942871094
2017-11-06,137.9600372314453
2017-11-07,136.7405548095703
2017-11-08,137.3932342529297
2017-11-09,136.58607482910156
2017-11-10,135.0144805908203
2017-11-13,135.1003875732422
2017-11-14,134.92001342773438
2017-11-15,135.16046142578125
2017-11-16,134.89427185058594
2017-11-17,135.92477416992188
2017-11-20,137.9600372314453
2017-11-21,137.19573974609375
2017-11-22,137.0411834716797
2017-11-24,137.0239715576172
2017-11-27,136.75775146484375
2017-11-28,138.90463256835938
2017-11-29,140.4590301513672
2017-11-30,140.1756591796875
2017-12-01,139.5230255126953
2017-12-04,142.16798400878906
2017-12-05,141.1460418701172
2017-12-06,141.49810791015625
2017-12-07,143.9284210205078
2017-12-08,145.8692626953125
2017-12-11,144.08297729492188
2017-12-12,144.78721618652344
2017-12-13,142.91510009765625
2017-12-14,142.0820770263672
2017-12-15,144.21182250976562
2017-12-18,146.0066375732422
2017-12-19,147.1316375732422
2017-12-20,146.93408203125
2017-12-21,147.44932556152344
2017-12-22,147.2861785888672
2017-12-26,146.93408203125
2017-12-27,146.79669189453125
2017-12-28,147.37200927734375
2017-12-29,145.53431701660156
2018-01-02,145.9121551513672
2018-01-03,145.1907958984375
2018-01-04,145.72325134277344
2018-01-05,146.2213134765625
2018-01-08,147.7069854736328
2018-01-09,149.49319458007812
2018-01-10,150.99603271484375
2018-01-11,153.7011260986328
2018-01-12,156.32896423339844
2018-01-16,152.26699829101562
2018-01-17,153.26316833496094
2018-01-18,152.49029541015625
2018-01-19,153.55516052246094
2018-01-22,152.8080291748047
2018-01-23,153.1257781982422
2018-01-24,154.8433074951172
2018-01-25,148.6773681640625
2018-01-26,154.43966674804688
2018-01-29,152.38720703125
2018-01-30,147.715576171875
2018-01-31,144.87301635742188
2018-02-01,146.91688537597656
2018-02-02,143.84254455566406
2018-02-05,137.7367706298828
2018-02-06,137.88279724121094
2018-02-07,137.49632263183594
2018-02-08,130.96112060546875
2018-02-09,132.14622497558594
2018-02-12,133.8894805908203
2018-02-13,134.499267578125
2018-02-14,137.87420654296875
2018-02-15,137.25262451171875
2018-02-16,137.95181274414062
2018-02-20,137.04550170898438
2018-02-21,137.5806884765625
2018-02-22,136.39805603027344
2018-02-23,138.35757446289062
2018-02-26,140.11854553222656
2018-02-27,137.91732788085938
2018-02-28,135.04273986816406
2018-03-01,132.64303588867188
2018-03-02,130.26918029785156
2018-03-05,134.33493041992188
2018-03-06,134.2917938232422
2018-03-07,134.43853759765625
2018-03-08,135.01693725585938
2018-03-09,139.07403564453125
2018-03-12,138.0122833251953
2018-03-13,137.17495727539062
2018-03-14,135.53480529785156
2018-03-15,134.1363983154297
2018-03-16,135.6125030517578
2018-03-19,134.697509765625
2018-03-20,135.64706420898438
2018-03-21,136.2685546875
2018-03-22,130.3986358642578
2018-03-23,125.07255554199219
2018-03-26,129.09518432617188
2018-03-27,127.16156005859375
2018-03-28,126.85945892333984
2018-03-29,127.70540618896484
