date,price
2017-07-03,241.6521759033203
2017-07-05,239.64395141601562
2017-07-06,236.06687927246094
2017-07-07,240.62527465820312
2017-07-10,238.76536560058594
2017-07-11,239.55271911621094
2017-07-12,241.5380859375
2017-07-13,239.21035766601562
2017-07-14,241.74342346191406
2017-07-17,245.48597717285156
2017-07-18,246.8095703125
2017-07-19,245.60586547851562
2017-07-20,246.0337677001953
2017-07-21,247.9278106689453
2017-07-24,246.4558563232422
2017-07-25,247.288818359375
2017-07-26,247.99053955078125
2017-07-27,247.939208984375
2017-07-28,247.0606231689453
2017-07-31,248.16737365722656
2017-08-01,245.5487518310547
2017-08-02,243.90574645996094
2017-08-03,242.71861267089844
2017-08-04,241.11663818359375
2017-08-07,243.43896484375
2017-08-08,243.8365478515625
2017-08-09,240.86888122558594
2017-08-10,239.16891479492188
2017-08-11,236.6162109375
2017-08-14,239.2151336669922
2017-08-15,236.93890380859375
2017-08-16,237.75144958496094
2017-08-17,237.19827270507812
2017-08-18,236.00543212890625
2017-08-21,235.95361328125
2017-08-22,237.35382080078125
2017-08-23,240.8112335205078
2017-08-24,236.34539794921875
2017-08-25,238.2239227294922
2017-08-28,237.99920654296875
2017-08-29,238.11447143554688
2017-08-30,238.05677795410156
2017-08-31,241.2665252685547
2017-09-01,240.7017822265625
2017-09-05,241.3356475830078
2017-09-06,243.3812713623047
2017-09-07,243.53111267089844
2017-09-08,243.4619903564453
2017-09-11,246.5736846923828
2017-09-12,245.85914611816406
2017-09-13,243.52537536621094
2017-09-14,245.89381408691406
2017-09-15,245.3577880859375
2017-09-18,245.66900634765625
2017-09-19,242.65530395507812
2017-09-20,243.43896484375
2017-09-21,240.40786743164062
2017-09-22,242.63795471191406
2017-09-25,244.25721740722656
2017-09-26,245.9570770263672
2017-09-27,245.64013671875
2017-09-28,246.89060974121094
2017-09-29,244.3782196044922
2017-10-02,245.2425537109375
2017-10-03,248.26210021972656
2017-10-04,248.0719757080078
2017-10-05,247.72616577148438
2017-10-06,247.28829956054688
2017-10-09,246.64283752441406
2017-10-10,247.95668029785156
2017-10-11,247.6685791015625
2017-10-12,247.78382873535156
2017-10-13,247.1153564453125
2017-10-16,247.78382873535156
2017-10-17,247.77809143066406
2017-10-18,246.48146057128906
2017-10-19,245.2425537109375
2017-10-20,243.26036071777344
2017-10-23,241.66990661621094
2017-10-24,240.39065551757812
2017-10-25,240.58079528808594
2017-10-26,238.77137756347656
2017-10-27,240.4482421875
2017-10-30,238.4429168701172
2017-10-31,236.835205078125
2017-11-01,235.440673828125
2017-11-02,236.65652465820312
2017-11-03,236.22572326660156
2017-11-06,235.8647003173828
2017-11-07,235.7890167236328
2017-11-08,235.9869384765625
2017-11-09,235.70753479003906
2017-11-10,235.8006134033203
2017-11-13,236.825439453125
2017-11-14,238.73532104492188
2017-11-15,239.5912322998047
2017-11-16,244.61032104492188
2017-11-17,243.1371612548828
2017-11-20,242.81692504882812
2017-11-21,243.83013916015625
2017-11-22,244.2843017578125
2017-11-24,245.7166290283203
2017-11-27,244.46478271484375
2017-11-28,244.88401794433594
2017-11-29,247.95838928222656
2017-11-30,246.28721618652344
2017-12-01,244.42398071289062
2017-12-04,240.90716552734375
2017-12-05,235.99856567382812
2017-12-06,233.83258056640625
2017-12-07,229.58782958984375
2017-12-08,228.83090209960938
2017-12-11,230.72328186035156
2017-12-12,231.82374572753906
2017-12-13,231.94020080566406
2017-12-14,230.4029998779297
2017-12-15,231.5617218017578
2017-12-18,232.6448211669922
2017-12-19,230.21665954589844
2017-12-20,229.6170196533203
2017-12-21,228.60968017578125
2017-12-22,229.2734375
2017-12-26,228.97642517089844
2017-12-27,228.97642517089844
2017-12-28,231.39288330078125
2017-12-29,230.49041748046875
2018-01-02,232.16732788085938
2018-01-03,231.31137084960938
2018-01-04,228.7552032470703
2018-01-05,228.53396606445312
2018-01-08,227.46258544921875
2018-01-09,225.68667602539062
2018-01-10,221.07518005371094
2018-01-11,223.43910217285156
2018-01-12,221.7447509765625
2018-01-16,222.47836303710938
2018-01-17,222.9499969482422
2018-01-18,220.1085205078125
2018-01-19,219.5728302001953
2018-01-22,219.73597717285156
2018-01-23,221.26145935058594
2018-01-24,220.53359985351562
2018-01-25,220.35308837890625
2018-01-26,218.46156311035156
2018-01-29,214.81398010253906
2018-01-30,213.482177734375
2018-01-31,214.1185760498047
2018-02-01,208.6913299560547
2018-02-02,205.2972412109375
2018-02-05,201.0602569580078
2018-02-06,197.74853515625
2018-02-07,199.55172729492188
2018-02-08,200.39437866210938
2018-02-09,207.06495666503906
2018-02-12,210.453369140625
2018-02-13,212.5629119873047
2018-02-14,211.75559997558594
2018-02-15,212.0973358154297
2018-02-16,208.09031677246094
2018-02-20,215.63894653320312
2018-02-21,219.9170684814453
2018-02-22,218.29061889648438
2018-02-23,218.6854705810547
2018-02-26,223.8061981201172
2018-02-27,217.9134521484375
2018-02-28,215.27943420410156
2018-03-01,214.56642150878906
2018-03-02,215.08497619628906
2018-03-05,216.13388061523438
2018-03-06,218.3201141357422
2018-03-07,220.123291015625
2018-03-08,219.30418395996094
2018-03-09,219.29830932617188
2018-03-12,219.75204467773438
2018-03-13,218.67958068847656
2018-03-14,220.66542053222656
2018-03-15,220.7361297607422
2018-03-16,221.14273071289062
2018-03-19,224.37197875976562
2018-03-20,221.66722106933594
2018-03-21,219.6165008544922
2018-03-22,221.28416442871094
2018-03-23,219.5752716064453
2018-03-26,220.0644073486328
2018-03-27,222.72198486328125
2018-03-28,228.3082733154297
2018-03-29,224.64894104003906
