date,price
2017-07-03,50.34836959838867
2017-07-05,50.192832946777344
2017-07-06,50.111366271972656
2017-07-07,50.51130294799805
2017-07-10,50.28171157836914
2017-07-11,49.88916778564453
2017-07-12,50.53351974487305
2017-07-13,49.970645904541016
2017-07-14,50.1409797668457
2017-07-17,50.53351974487305
2017-07-18,50.703861236572266
2017-07-19,51.244537353515625
2017-07-20,51.74074172973633
2017-07-21,52.19255065917969
2017-07-24,51.725948333740234
2017-07-25,51.792606353759766
2017-07-26,51.68151092529297
2017-07-27,51.711124420166016
2017-07-28,51.54077911376953
2017-07-31,51.592620849609375
2017-08-01,51.911109924316406
2017-08-02,51.5185661315918
2017-08-03,51.607460021972656
2017-08-04,51.48153305053711
2017-08-07,52.08885955810547
2017-08-08,52.429569244384766
2017-08-09,52.340675354003906
2017-08-10,52.02220153808594
2017-08-11,51.48893356323242
2017-08-14,52.08145523071289
2017-08-15,51.911109924316406
2017-08-16,52.108638763427734
2017-08-17,51.21417236328125
2017-08-18,51.22909927368164
2017-08-21,51.5421257019043
2017-08-22,52.0042839050293
2017-08-23,52.093711853027344
2017-08-24,52.42912673950195
2017-08-25,52.339698791503906
2017-08-28,52.61545944213867
2017-08-29,52.54094314575195
2017-08-30,52.198055267333984
2017-08-31,52.45895004272461
2017-09-01,52.48876953125
2017-09-05,52.727272033691406
2017-09-06,52.026641845703125
2017-09-07,52.123538970947266
2017-09-08,52.339698791503906
2017-09-11,52.79437255859375
2017-09-12,51.80302047729492
2017-09-13,51.788116455078125
2017-09-14,52.04153823852539
2017-09-15,51.899925231933594
2017-09-18,51.39307403564453
2017-09-19,51.430335998535156
2017-09-20,51.06511688232422
2017-09-21,51.22909927368164
2017-09-22,51.132198333740234
2017-09-25,51.601783752441406
2017-09-26,51.4005241394043
2017-09-27,51.48250198364258
2017-09-28,51.67631149291992
2017-09-29,51.33344268798828
2017-10-02,51.1470947265625
2017-10-03,51.489990234375
2017-10-04,51.97446060180664
2017-10-05,51.5421257019043
2017-10-06,49.999244689941406
2017-10-09,50.006690979003906
2017-10-10,50.71479415893555
2017-10-11,50.684974670410156
2017-10-12,50.99803161621094
2017-10-13,50.43899917602539
2017-10-16,50.453914642333984
2017-10-17,50.38682556152344
2017-10-18,50.133392333984375
2017-10-19,50.16323471069336
2017-10-20,49.91725158691406
2017-10-23,49.95451354980469
2017-10-24,49.42530059814453
2017-10-25,48.366886138916016
2017-10-26,48.51594924926758
2017-10-27,48.50851058959961
2017-10-30,48.71720886230469
2017-10-31,48.64266586303711
2017-11-01,48.0389289855957
2017-11-02,47.51716613769531
2017-11-03,45.638832092285156
2017-11-06,44.52824401855469
2017-11-07,43.85741424560547
2017-11-08,43.20893859863281
2017-11-09,43.380367279052734
2017-11-10,42.925697326660156
2017-11-13,43.4772834777832
2017-11-14,43.82760238647461
2017-11-15,43.492183685302734
2017-11-16,44.578067779541016
2017-11-17,44.28499221801758
2017-11-20,44.05955505371094
2017-11-21,43.73640823364258
2017-11-22,43.563568115234375
2017-11-24,43.60115051269531
2017-11-27,43.62369155883789
2017-11-28,43.766483306884766
2017-11-29,43.87167739868164
2017-11-30,43.9693717956543
2017-12-01,43.766483306884766
2017-12-04,43.67629623413086
2017-12-05,43.165287017822266
2017-12-06,43.52598571777344
2017-12-07,44.29250717163086
2017-12-08,44.8260612487793
2017-12-11,45.06654357910156
2017-12-12,44.88618087768555
2017-12-13,45.22434616088867
2017-12-14,44.69080352783203
2017-12-15,45.10411071777344
2017-12-18,44.908729553222656
2017-12-19,44.39020538330078
2017-12-20,44.03700637817383
2017-12-21,43.73640823364258
2017-12-22,44.35262680053711
2017-12-26,44.06706619262695
2017-12-27,44.38269805908203
2017-12-28,45.02145767211914
2017-12-29,45.1717414855957
2018-01-02,44.442813873291016
2018-01-03,44.05203628540039
2018-01-04,43.78901672363281
2018-01-05,43.142738342285156
2018-01-08,43.473392486572266
2018-01-09,41.166343688964844
2018-01-10,41.42184829711914
2018-01-11,41.32414245605469
2018-01-12,40.910823822021484
2018-01-16,40.294612884521484
2018-01-17,40.17437744140625
2018-01-18,39.98649215698242
2018-01-19,40.32466506958008
2018-01-22,41.1437873840332
2018-01-23,41.76752853393555
2018-01-24,42.06059265136719
2018-01-25,42.17332458496094
2018-01-26,42.90978240966797
2018-01-29,41.91030502319336
2018-01-30,41.722434997558594
2018-01-31,41.744964599609375
2018-02-01,41.27154541015625
2018-02-02,40.5050163269043
2018-02-05,39.385311126708984
2018-02-06,38.88933563232422
2018-02-07,38.91187286376953
2018-02-08,38.11531066894531
2018-02-09,39.107269287109375
2018-02-12,39.95642852783203
2018-02-13,39.30265808105469
2018-02-14,39.25334930419922
2018-02-15,39.5794563293457
2018-02-16,39.73112869262695
2018-02-20,39.086517333984375
2018-02-21,38.419151306152344
2018-02-22,38.570823669433594
2018-02-23,39.38986587524414
2018-02-26,39.42019271850586
2018-02-27,39.13201904296875
2018-02-28,38.51772689819336
2018-03-01,38.65423583984375
2018-03-02,38.92726516723633
2018-03-05,39.632545471191406
2018-03-06,39.624961853027344
2018-03-07,39.07135009765625
2018-03-08,39.283695220947266
2018-03-09,39.4656982421875
2018-03-12,39.670467376708984
2018-03-13,39.13201904296875
2018-03-14,39.43537139892578
2018-03-15,39.9434814453125
2018-03-16,40.36058807373047
2018-03-19,40.63359069824219
2018-03-20,40.413665771484375
2018-03-21,40.36058807373047
2018-03-22,40.21648406982422
2018-03-23,39.43537139892578
2018-03-26,40.110313415527344
2018-03-27,40.61084747314453
2018-03-28,40.92177963256836
