Date,Close
2017-07-03,327.0
2017-07-05,306.0
2017-07-06,295.0
2017-07-07,290.0
2017-07-10,298.0
2017-07-11,303.0
2017-07-12,300.0
2017-07-13,304.0
2017-07-14,305.0
2017-07-17,310.0
2017-07-18,306.0
2017-07-19,319.0
2017-07-20,309.0
2017-07-21,295.0
2017-07-24,293.0
2017-07-25,302.0
2017-07-26,310.0
2017-07-27,306.0
2017-07-28,272.0
2017-07-31,265.0
2017-08-01,259.0
2017-08-02,263.0
2017-08-03,262.0
2017-08-04,269.0
2017-08-07,255.0
2017-08-08,252.0
2017-08-09,252.0
2017-08-10,244.0
2017-08-11,240.0
2017-08-14,234.0
2017-08-15,225.0
2017-08-16,217.0
2017-08-17,209.0
2017-08-18,210.0
2017-08-21,207.0
2017-08-22,210.0
2017-08-23,211.0
2017-08-24,207.0
2017-08-25,211.0
2017-08-28,211.0
2017-08-29,219.0
2017-08-30,226.0
2017-08-31,232.0
2017-09-01,225.0
2017-09-05,233.0
2017-09-06,241.0
2017-09-07,249.0
2017-09-08,248.0
2017-09-11,259.0
2017-09-12,265.0
2017-09-13,280.0
2017-09-14,279.0
2017-09-15,281.0
2017-09-18,281.0
2017-09-19,282.0
2017-09-20,284.79998779296875
2017-09-21,288.0
2017-09-22,291.0
2017-09-25,301.0
2017-09-26,309.0
2017-09-27,313.0
2017-09-28,319.0
2017-09-29,318.0
2017-10-02,302.0
2017-10-03,307.79998779296875
2017-10-04,308.0
2017-10-05,310.0
2017-10-06,300.0
2017-10-09,303.0
2017-10-10,301.0
2017-10-11,306.0
2017-10-12,285.0
2017-10-13,284.0
2017-10-16,281.0
2017-10-17,278.0
2017-10-18,274.0
2017-10-19,274.0
2017-10-20,272.0
2017-10-23,270.0
2017-10-24,274.0
2017-10-25,268.0
2017-10-26,265.79998779296875
2017-10-27,266.0
2017-10-30,279.0
2017-10-31,288.0
2017-11-01,294.0
2017-11-02,281.0
2017-11-03,278.79998779296875
2017-11-06,290.0
2017-11-07,288.79998779296875
2017-11-08,284.0
2017-11-09,285.0
2017-11-10,285.0
2017-11-13,278.0
2017-11-14,268.0
2017-11-15,261.0
2017-11-16,259.0
2017-11-17,265.0
2017-11-20,264.0
2017-11-21,267.0
2017-11-22,271.0
2017-11-24,269.0
2017-11-27,268.0
2017-11-28,277.0
2017-11-29,279.0
2017-11-30,284.0
2017-12-01,298.0
