date,portfolio_return
2015-04-23,0.004579494552262364
2015-04-24,0.001558208688616114
2015-04-27,-0.008181269404511804
2015-04-28,0.0026908381365358114
2015-04-29,-0.012544946703774151
2015-04-30,-0.0164547057535408
2015-05-01,0.015540939190116898
2015-05-04,0.0029057540909047663
2015-05-05,-0.03827639665868465
2015-05-06,-0.003328186939431599
2015-05-07,0.0044711761289926155
2015-05-08,-0.004348530181850774
2015-05-11,0.0007297525910507918
2015-05-12,-0.0010691351171495667
2015-05-13,-0.0007890116347525344
2015-05-14,0.010010300692759877
2015-05-15,0.004854902640303527
2015-05-18,0.008440573634812543
2015-05-19,0.005233626819392212
2015-05-20,0.0006084566071880015
2015-05-21,-0.0028382473888368676
2015-05-22,-0.001013135883469407
2015-05-26,-0.007667648668268634
2015-05-27,0.011491558015894077
2015-05-28,-0.001774004570023635
2015-05-29,-0.0011787037320253324
2015-06-01,0.0011625645544184326
2015-06-02,-0.007402650189630933
2015-06-03,0.005217964068589431
2015-06-04,-0.004951931566101853
2015-06-05,0.003714299216287076
2015-06-08,-0.006374604654224569
2015-06-09,0.0025334081489853943
2015-06-10,0.006839716631303894
2015-06-11,0.0011201547741721551
2015-06-12,-0.006248431497182683
2015-06-15,0.0005115096704120248
2015-06-16,0.007076989839002845
2015-06-17,0.0014885319692885535
2015-06-18,0.013674817568583908
2015-06-19,0.003792537476500657
2015-06-22,-0.0052701455758468185
2015-06-23,-0.0016805934562307279
2015-06-24,-0.01307119855056249
2015-06-25,5.3675267950969996e-05
2015-06-26,0.00020937581142566053
2015-06-29,-0.021473209108888835
2015-06-30,-0.0013896958888149902
2015-07-01,0.011213325048821554
2015-07-02,-0.0030219537123136186
2015-07-06,-0.0006375916259618863
2015-07-07,0.005648554121811866
2015-07-08,-0.009723390097316154
2015-07-09,-0.003751157727462595
2015-07-10,0.011231856138947283
2015-07-13,0.0027395337305136103
2015-07-14,0.0060872987996218875
2015-07-15,-0.007581745411188168
2015-07-16,0.008999586964763884
2015-07-17,-0.00845223264915651
2015-07-20,-0.005349573704340194
2015-07-21,-0.003913389564468295
2015-07-22,0.002054761680878814
2015-07-23,0.0018943539377949126
2015-07-24,-0.010630733031899542
2015-07-27,-0.008188498499290375
2015-07-28,0.009963568088891872
2015-07-29,0.008262839736572936
2015-07-30,0.007865416186163099
2015-07-31,0.002136577431264497
2015-08-03,0.006294842333543382
2015-08-04,-0.001795596708396685
2015-08-05,0.006800238319438767
2015-08-06,-0.025491292790027265
2015-08-07,0.01872236524866433
2015-08-10,0.001559385566003435
2015-08-11,-0.0002759464064243655
2015-08-12,-0.0089958321553687
2015-08-13,0.002541310371726224
2015-08-14,0.00668040326279562
2015-08-17,0.007976187977061677
2015-08-18,-0.003276533366539769
2015-08-19,-0.006971406756261067
2015-08-20,-0.01918686257297586
2015-08-21,-0.02798207909699968
2015-08-24,-0.03552320234937789
2015-08-25,-0.008024039017510143
2015-08-26,0.036515240790746084
2015-08-27,0.01899973439594005
2015-08-28,0.0015453676125221083
2015-08-31,-0.009491789629025416
2015-09-01,-0.025713194029279185
2015-09-02,0.0208363342007154
2015-09-03,0.002349402358376995
2015-09-04,-0.010498255702070303
2015-09-08,0.023824338544673918
2015-09-09,-0.015633129280748892
2015-09-10,0.005064789203162334
2015-09-11,0.010412837302040678
2015-09-14,-0.00261823019483165
2015-09-15,0.007347166077451339
2015-09-16,0.01608981526920994
2015-09-17,0.009313654039204255
2015-09-18,-0.002690818332745315
2015-09-21,0.00010778792672549997
2015-09-22,-0.012233490053395246
2015-09-23,-0.0016310642444666845
2015-09-24,-0.0023221651631089024
2015-09-25,0.005577827021899573
2015-09-28,-0.020099742739765114
2015-09-29,0.0018766850361360277
2015-09-30,0.01682554732217878
2015-10-01,-0.0027377113395546937
