date,NVDA,QLYS,A,NSA,MCD,NKE,MBUU,TXRH,OGS
2015-04-22,0.5374107956886292,52.380001068115234,39.1849250793457,7.965402603149414,75.23416137695312,44.01676940917969,22.6299991607666,29.673784255981445,31.17099380493164
2015-04-23,0.5352427363395691,53.70000076293945,39.102352142333984,7.965402603149414,74.5882797241211,44.43870544433594,22.510000228881836,30.395898818969727,31.2371768951416
2015-04-24,0.5306662321090698,53.04999923706055,38.98308563232422,8.0266752243042,75.92625427246094,44.36838150024414,22.469999313354492,30.505064010620117,31.619548797607422
2015-04-27,0.5347611308097839,52.81999969482422,38.51517868041992,8.051183700561523,74.15764617919922,44.36397933959961,22.020000457763672,30.261558532714844,31.097457885742188
2015-04-28,0.5374107956886292,52.70000076293945,38.69867706298828,8.087945938110352,74.45752716064453,43.88931655883789,22.030000686645508,30.547046661376953,31.37688446044922
2015-04-29,0.5333157181739807,52.09000015258789,38.49683380126953,8.008292198181152,74.6036376953125,44.02555465698242,21.639999389648438,28.80893325805664,31.134225845336914
2015-04-30,0.5347611308097839,49.52000045776367,37.95552062988281,7.8612380027771,74.24224853515625,43.44102478027344,21.170000076293945,28.2127742767334,30.862144470214844
2015-05-01,0.5480098128318787,52.13999938964844,38.37755584716797,7.977657794952393,75.20345306396484,44.29366683959961,21.0,28.195980072021484,31.229827880859375
2015-05-04,0.5446372628211975,55.08000183105469,38.478485107421875,7.965402603149414,73.91929626464844,44.31562805175781,20.989999771118164,28.271549224853516,30.8989200592041
2015-05-05,0.5306662321090698,37.029998779296875,38.157371520996094,7.977657794952393,73.91929626464844,44.13543701171875,21.56999969482422,29.136398315429688,30.450363159179688
2015-05-06,0.532352089881897,37.7400016784668,38.157371520996094,7.922512531280518,74.11920928955078,44.04753494262695,21.010000228881836,28.708175659179688,30.457714080810547
2015-05-07,0.5417466759681702,37.06999969482422,38.35002136230469,7.898005485534668,74.4190902709961,44.58811569213867,20.93000030517578,29.05243492126465,30.685672760009766
2015-05-08,0.5017602443695068,36.97999954223633,38.99226379394531,7.959274768829346,75.53406524658203,45.02324295043945,20.489999771118164,28.97686195373535,31.06069564819336
2015-05-11,0.49694252014160156,37.13999938964844,39.102352142333984,8.008292198181152,74.98041534423828,45.17706298828125,20.770000457763672,28.909700393676758,30.965099334716797
2015-05-12,0.5017602443695068,37.90999984741211,38.450958251953125,8.014421463012695,75.3187484741211,44.99248123168945,20.479999542236328,28.960071563720703,30.773916244506836
2015-05-13,0.5046506524085999,37.630001068115234,38.35920333862305,8.020546913146973,74.85738372802734,44.90018844604492,20.520000457763672,28.842527389526367,30.936853408813477
2015-05-14,0.512840747833252,38.529998779296875,38.57939147949219,8.038928031921387,75.13420867919922,45.4627571105957,20.549999237060547,29.136398315429688,31.477535247802734
2015-05-15,0.5130814909934998,38.61000061035156,38.570220947265625,8.112455368041992,75.38797760009766,46.13959884643555,20.670000076293945,29.119604110717773,31.707141876220703
2015-05-18,0.5123588442802429,40.08000183105469,39.111534118652344,8.25338363647461,75.37257385253906,46.03850555419922,20.56999969482422,29.49746322631836,31.98857307434082
2015-05-19,0.509164571762085,39.959999084472656,38.87297821044922,8.369797706604004,77.41798400878906,45.99016571044922,20.770000457763672,29.808141708374023,31.98857307434082
2015-05-20,0.509164571762085,40.16999816894531,39.09316635131836,8.345293998718262,76.9797134399414,45.976985931396484,20.6200008392334,29.833324432373047,32.32185363769531
2015-05-21,0.5055344700813293,40.09000015258789,38.82711410522461,8.369797706604004,76.34146118164062,45.88467788696289,20.559999465942383,29.757755279541016,32.41074752807617
2015-05-22,0.5048086047172546,39.36000061035156,38.99226379394531,8.302400588989258,76.11847686767578,45.897857666015625,20.920000076293945,29.63181495666504,32.46259689331055
2015-05-26,0.5016624331474304,39.75,38.588592529296875,8.179854393005371,75.71094512939453,45.45395278930664,20.809999465942383,29.22876739501953,32.18114471435547
2015-05-27,0.5285245776176453,39.86000061035156,39.09316635131836,8.333038330078125,75.86473846435547,45.199058532714844,20.700000762939453,29.698986053466797,32.44036102294922
2015-05-28,0.5357843637466431,40.13999938964844,38.304168701171875,8.25951099395752,74.83313751220703,45.0844612121582,20.770000457763672,29.757755279541016,32.6329345703125
2015-05-29,0.5355424284934998,40.720001220703125,37.790374755859375,8.26563835144043,74.40650177001953,44.806800842285156,20.969999313354492,29.40509033203125,32.832908630371094
2015-06-01,0.5415924191474915,40.40999984741211,37.54265213012695,8.25338363647461,74.6314697265625,44.84648895263672,21.190000534057617,29.455482482910156,32.751434326171875
2015-06-02,0.530944287776947,39.810001373291016,37.71699905395508,8.161474227905273,74.68574523925781,45.00072479248047,21.170000076293945,29.337915420532227,31.94413185119629
2015-06-03,0.5251366496086121,41.33000183105469,37.70780563354492,8.173727989196777,74.86414337158203,45.177005767822266,21.489999771118164,29.93409538269043,31.484935760498047
2015-06-04,0.5345743894577026,40.68000030517578,37.194034576416016,8.020546913146973,74.70125579833984,44.93022155761719,21.450000762939453,29.992862701416016,31.21830940246582
2015-06-05,0.5386883616447449,42.38999938964844,36.98301696777344,8.014421463012695,74.10404205322266,44.96546936035156,21.3700008392334,30.70656967163086,30.74428367614746
2015-06-08,0.5263463258743286,41.439998626708984,36.652732849121094,8.057311058044434,73.93336486816406,44.7054443359375,21.350000381469727,30.689777374267578,30.685039520263672
2015-06-09,0.5290087461471558,42.20000076293945,36.80868911743164,8.11858081817627,73.47576904296875,44.6657829284668,21.270000457763672,30.547046661376953,30.877601623535156
