company
AMZN
AN
ANF
BBY
BOOT
BZH
CRMT
CVCO
DAN
DHI
DKS
DORM
GRMN
GT
H
HVT
KBH
KSS
LKQ
M
MBUU
MCD
MGM
NKE
PAG
PETS
SAH
SMP
TLYS
TXRH
ULTA
URBN
WINA
A
AMPH
BAX
BSX
CNC
CRVL
HUM
INVA
ITGR
MOH
OFIX
AKAM
COHR
CTSH
DIOD
MTSI
NVDA
OSIS
QLYS
SCSC
CEVA
FTNT
VSAT
APLE
BDN
EGP
JOE
MPW
NSA
STAG
AEE
AWK
BKH
CPK
CWT
OGS
SR
